review,name,user_profile,rating
"Great stay with lots of activities.Thanks to all the Sterling team.Food is good we are coming for our friend wedding ,we are happy and comfortable with the stay....the resort is well maintain and the rooms are good .",Vikas,/Profile/royvikas,50
Excellent service very good food warm hospitality. Memorable stay............weather is pleasant location is good ..far from the main market. Approach to the hotel is adventurous...rest all the activities are good ..,Bose,/Profile/Bosebose123,50
"We are coming for our friend wedding in mussoorie but we are stay @ sterling mussoorie , there are too many steps to the rooms but we are enjoyed to clim the steps, they have good restaurant and good recreation room they have outdoor activities which are wow.. I love this place",Vipin,/Profile/Vipinpla,50
"Trip to Mussoorie was really cool ,we enjoyed each and every day ,food was delicious,all the day activities are fantastic ,all the staff is helpful and kind .Resturant is at good location.Morning breakfast is good .",Sushil,/Profile/Deosushil,50
Excellent stay.nice location.good hospitality . Great lunch and dinner.clean room and room service was very good.nice kids play area my kids are really enjoyed .I will definitely visit again sterling mussoorie...,Jituu,/Profile/jituuyadav,50
"Great stay with lots of activities.Thanks to all the Sterling team.Food is good we are coming for our friend wedding ,we are happy and comfortable with the stay....the resort is well maintain and the rooms are good .",Vikas,/Profile/royvikas,50
Excellent service very good food warm hospitality. Memorable stay............weather is pleasant location is good ..far from the main market. Approach to the hotel is adventurous...rest all the activities are good ..,Bose,/Profile/Bosebose123,50
"We are coming for our friend wedding in mussoorie but we are stay @ sterling mussoorie , there are too many steps to the rooms but we are enjoyed to clim the steps, they have good restaurant and good recreation room they have outdoor activities which are wow.. I love this place",Vipin,/Profile/Vipinpla,50
"Trip to Mussoorie was really cool ,we enjoyed each and every day ,food was delicious,all the day activities are fantastic ,all the staff is helpful and kind .Resturant is at good location.Morning breakfast is good .",Sushil,/Profile/Deosushil,50
Excellent stay.nice location.good hospitality . Great lunch and dinner.clean room and room service was very good.nice kids play area my kids are really enjoyed .I will definitely visit again sterling mussoorie...,Jituu,/Profile/jituuyadav,50
