review,name,user_profile,rating
After getting married  it was my first trip and we decided  to go to haridwar and booked this wonderful property. Fresh interior with some wonderful and memorable  faces. Service and hospitality is at its best . As a traveler i been to many places worldwide and i can compare it with some top brands  in big cities. Will surely book same hotel while return back. ,Simarpreet K,/Profile/simarpreet1994,50
I been to this place 2 times and i must say that every time i visit they treet us like home with smile on faces. They are very flexible with our needs and ready to help. Management is also very good and doing there jobs seriously. ,Satwant K,/Profile/satwantk2020,50
"This month i stayed in fortune hotel Haridwar,it was an awesome experience i ever had.staff was very kind and supportive always ready to help you. Food was delicious and rooms were clean and spacious. Overall memoriable experience,wish to come again to enjoy your hospitality.",Rath,/Profile/Sanrath,50
I stay for three night at fortune park Haridwar.warm welcome at reception. The room is neat & clean and species.the food is testy.service good. modern amenities with good Housekeeping services. I will visit again. The best hospitality experience at fortune park haridwar.,Das R,/Profile/Dasrubel,50
I visited this hotel in Jan. For business purpose. The  hotel room is clean and specius. The breakfast buffet is lavis and tasty. Worm welcome at reception. Over all nice stay at fortune park haridwar.Thank you for one of the best hospitality.,Chiku,/Profile/Bitujai,50
I visited this property in Jan for some business work . The entire staff is very courteous and are ready to help with smile . I stayed in the club room every thing was perfect as per the segment .  The food is no doubt good . Hats off to the chef .   Thanks for your hospitality. Will be visiting soon .,Rose,/Profile/Rosyroseflower,50
I have travel to various places & always look for the best property to stay. After doing the research for many days I did the booking with Fortune Haridwar. This is one of the best property in Haridwar to stay with.  All hotel staffs are very supportive and are always ready to help .We had our lunch at the hotel and trust me the food was amazingly good. We could not able to eat breakfast as we left at around 04:00 in the morning from the hotel and we requested for packed breakfast which was provided and was really good. Whenever I will visit Haridwar I will stay with this hotel only. Thank you Fortune Park team members for making our trip as a memorable.,Nickson Dave,/Profile/davesonholi,50
"Went for my grandfather Barkhi with family of 20. When you enter the hotel, there is absolute negativity with no hotel staff welcoming or smiling at you. Very Poor and slow check in procedure. We had to go to Ghat for rituals so asked hotel to pack breakfast for 10 people. They packed 10 Puri for 15 people. Female members who went for breakfast at 10.30 were denied breakfast. We do understand that live counters can be denied but even normal breakfast was denied. Informed hotel 30 min before about checkout but after coming on reception they took another 30 min to finish check out formalities. This hotel has a unique rule that i have not seen anywhere in the world - They will literally wait for each room card to be submitted back before they can raise your bill. Overall bad",chandan2015,/Profile/chandan2015,10
I stayed for a single night at fortune. The welcome was warm. The staff were ready to help. Buffet spread was good.   Location is quite some distance from main city haridwar.   Would love to visit again for a longer duration.,Nitin Agrawal,/Profile/Nsa3456,40
Stayed in deluxe room and found hotel very decent with good service and facilities. Dinner and breakfast was very delicious and worth the money paid. 30 mins away from Haridwar main city and Hari Ki Pauri. ,Yog C,/Profile/yogc2019,40
"Average stay.  Expected more from an ITC hotel. Room and amenities were good. Took half board, food had variety but food was not tasty. Nothing for kids to do. No amenities for kids except  gym. The mall nearby is not functional.  ",Sweety_Vikas_Kumar,/Profile/Sweety_Vikas_Kumar,30
"Never seen such hospitality anywhere in India. Best of the class services, support, beautifull and clean interiors. Polite and prompt staff to support customers every where during the stay. Great food , great rooms at low prices, hard to believe but these guys are a class apart.",Arun,/Profile/aarun24004,50
"Clean, spacious and comfortable room located just 20 minutes from Har ki Pauri. The check in took a little longer than what I'm used to at star hotels but overall the experience was good. The surprise element was sighting of a dear right opposite the hotel and Pied Hornbill from our room window. Overall A good place to stay. Abhinav was the gentleman who helped me book the room and was a nice smooth experience booking the room.",Gunjan1980,/Profile/GJ1980,50
"Very nice hotel in Haridwar near by Har ki poudi just drive 20 minutes. Staffs were very friendly and polite,room and washroom is specious with modern amenities & neat and clean. Food was amazing and large spread buffet with many verity  .this is very good hotel in Haridwar.  Perfect stay.  ",Sumit Kumar,/Profile/Kumar1206,50
"A hotel with first class hospitality, excellent room interiors, very good food quality and spread of menu in buffet.   Slightly away from Hari ki Paudi, approx 15-20 minutes drive by car. Though its located on highway, its pretty peaceful inside the rooms. No great view from the rooms though.",KedarDI,/Profile/KedarDI,50
"The hotel was conveniently located near the delhi-haridwar national highway and hence I did not face any problem in finding the hotel on my drive from delhi.  It was my first trip of haridwar  for some religious reason. Hotel staff is very nice. Food is very good I just loved it. Also its not so costly.   The hotel offers an amazing experience. It was very enjoyable stay in this hotel. The stay was made memorable by   every member of hotel staff from reception ,house keeping and maintenance to hotel manager's are totally focused on your need and making you stay perfect. The rooms of the hotel is very beautiful. The staff of this hotel is incredible and available for you every time.   You honestly do not feel like you are staying in a hotel at all when you stay at Fortune. It is",Megha Verma,/Profile/Megha91,50
"While this property was supposed to be in Haridwar, it was quite far from the town. So, it seemed like the place was in the middle of nowhere. And from the outside, the building looked quite odd. There was a shopping mall adjacent to this hotel, and the rooms on one side of the building had nothing but the walls of this adjoining mall, for a view. This definitely was odd. The gym hardly had any equipments - not sure if one could even call it functional. The service, in general, was slow, but manageable.  Above being said, the hotel was all right for a short layover. The rooms were clean, nicely designed and well-equipped. The breakfast spread was good, but some of the items were stale - pretty much their entire selection of pastries were inedible.   Despite a few shortcomings,",Vijayk1981,/Profile/Vijayk1981,40
"I stayed there on 01 st Sep, as expected from Centrum once again awesome stay with nice memories. The ambiance and the quality of rooms are always to talk about. More than hotel its home, you did not feel like that one is always from home. Perfect hotel stay stay with clean and nice room. Will visit soon.... ",Shiv Singh,/Profile/shivsinghb2019,50
It's Very decent.... Clean and to the point hospitality by fortune... This place is simple but offers all the amenities you expect from a short business stay... Have been coming for many years.... Location is quiet...must experiences... Must visit,jagdish s,/Profile/jagdishs237,50
"I came for Patanjali Company, booked the room directly. Stayed here for three nights. Reception  staff was really helpful and smiling face I am forgetting his name. Rooms was also clean and with all modern amenities. Had breakfast and dinner, the spread was good in buffet specially  I like SAM SAVERA KOFTA and JALAPEÑO  POPPERS yummy..   My next stay will be in the same hotel. ",Happiness51385604209,/Profile/Happiness51385604209,50
Beautiful rooms & excellent service. Nice place to visit again. Good food quality & variety in food menu available. Staff behaviour is friendly. Rooms are big & spacious. Recommended to book this hotel.,Suman,/Profile/suman_art,50
"I visited here in last month for my business meeting , very nice ambience hotel and staff members are responsive and hotel is neat and clean must visit hotel in haridwar love to visit again  Thank you  Fortune group",Nitin,/Profile/Nitinyadav1,50
